"country","code","TotalDataset","OpenLicenses%","OpenLicensesNumber","MachineReadable%","MachineReadableNumber","Availability%","AvailabilityNumber","MetadataCompleteness%","MetadataCompletenessNumber"
"Austria","AT","2377","80","8435","28","1079","72","1959","69","1774"
"Belgium","BE","3742","2","96","59","2223","38","2066","36","1854"
"Bulgaria","BG","103","11","96","93","96","84","87","59","61"
"Croatia","HR","9","0","0","100","9","33","3","69","6"
"Czech Republic","CZ","44","0","0","65","28","17","1","22","8"
"Denmark","DK","995","1","7","53","188","69","328","57","502"
"Estonia","EE","41","25","112","63","26","95","39","50","20"
"Finland","FI","1769","24","15","49","1121","80","1353","79","1499"
"France","FR","15653","31","8497","47","3078","87","12870","72","9032"
"Germany","DE","28892","24","40414","34","10244","51","16480","55","14866"
"Greece","GR","716","32","1344","78","444","82","585","62","497"
"Hungary","HU","162","28","583","60","100","66","128","44","75"
"Iceland","IS","35","14","49","26","9","69","24","71","25"
"International","EU","34669","7","23853","19","7045","66","16698","48","15791"
"Ireland","IE","1671","14","821","33","720","50","1168","47","1197"
"Italy","IT","12310","34","25205","57","7390","86","8773","65","8172"
"Kosovo","KO","15","89","47","0","0","0","0","25","4"
"Liechtenstein","LI","1086","22","1831","53","575","98","1021","75","812"
"Luxembourg","LU","10","0","0","0","0","0","0","25","2"
"Malta","MT","10","100","29","90","9","90","9","72","7"
"Netherlands","NL","7533","19","15425","29","4356","61","6579","51","7229"
"Norway","NO","312","0","0","12","36","2","5","50","156"
"Poland","PL","378","0","0","39","167","63","274","54","196"
"Portugal","PT","656","0","0","0","0","0","0","50","328"
"Romania","RO","1178","0","0","85","934","94","1117","66","824"
"Serbia","RS","167","3","11","51","86","9","10","47","78"
"Slovakia","SK","606","32","1341","89","539","89","539","74","448"
"Spain","ES","18637","53","43197","49","6524","57","11831","58","10857"
"Sweden","SE","963","4","38","34","75","98","286","48","281"
"Switzerland","CH","2091","21","790","76","1869","100","2089","75","1568"
"Ukraine","UA","102","0","0","0","0","0","0","0","0"
"United Kingdom","GB","23524","26","72884","37","12230","63","14024","58","11714"
